building_id,db_id,floor_id,bounding_box_min_z
11111111-1111-1111-1111-111111111111,37478,4e720225-09be-4a20-b117-8e7e1ed6c54f,34.45
11111111-1111-1111-1111-111111111111,37480,4e720225-09be-4a20-b117-8e7e1ed6c54f,34.45
11111111-1111-1111-1111-111111111111,37482,4e720225-09be-4a20-b117-8e7e1ed6c54f,35.01
11111111-1111-1111-1111-111111111111,37484,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.28
11111111-1111-1111-1111-111111111111,37486,4e720225-09be-4a20-b117-8e7e1ed6c54f,34.45
11111111-1111-1111-1111-111111111111,37488,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.02
11111111-1111-1111-1111-111111111111,37490,0ddd2728-b943-435a-9774-6c6f4018c7ea,-61.88
11111111-1111-1111-1111-111111111111,37492,0ddd2728-b943-435a-9774-6c6f4018c7ea,-61.1
11111111-1111-1111-1111-111111111111,37494,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.15
11111111-1111-1111-1111-111111111111,37496,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.14
11111111-1111-1111-1111-111111111111,37498,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.06
11111111-1111-1111-1111-111111111111,37500,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.03
11111111-1111-1111-1111-111111111111,37502,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.06
11111111-1111-1111-1111-111111111111,37504,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.6
11111111-1111-1111-1111-111111111111,37506,0ddd2728-b943-435a-9774-6c6f4018c7ea,-61.22
11111111-1111-1111-1111-111111111111,37508,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.15
11111111-1111-1111-1111-111111111111,37510,0ddd2728-b943-435a-9774-6c6f4018c7ea,-63.06
11111111-1111-1111-1111-111111111111,37512,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.65
11111111-1111-1111-1111-111111111111,37514,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-49.64
11111111-1111-1111-1111-111111111111,37516,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-49.29
11111111-1111-1111-1111-111111111111,37518,0ddd2728-b943-435a-9774-6c6f4018c7ea,-60.84
11111111-1111-1111-1111-111111111111,37520,0ddd2728-b943-435a-9774-6c6f4018c7ea,-61.22
